Código,Producto,P. Costo,P. Venta,P. Mayoreo,Existencia,Inv. Mínimo,Inv. Máximo,Departamento
9.00E+11,ABRAZADERA SIN FIN ACERO INOX 12 16-32MM 1-1/4 BLISTER CN 134000025,$21.67,$30.00,$29.00,4,2,10,TORNILLOS
9.00E+11,ABRAZADERA SIN FIN ACERO INOX 6 13-19MM 3/4 BLISTER CN 134000010,$15.91,$21.50,$21.00,5,2,10,TORNILLOS
9.00E+11,ABRAZADERA SIN FIN ACERO INOX 8 16-23MM 7/8 BLISTER CN 134000015,$16.88,$23.00,$22.50,4,2,10,TORNILLOS
986,ABRAZADERA SIN FIN NUM 28 LEGION ARDA CHOLU,$6.88,$11.00,$10.00,19,5,10,TORNILLOS
985,ABRAZADERA SIN FIN NUM 32 LEGION ARDA H79,$7.30,$12.00,$11.00,10,5,10,TORNILLOS
984,ABRAZADERA SIN FIN NUM 36 LEGION ARDA H79,$7.80,$13.00,$12.00,10,5,10,TORNILLOS
7.51E+12,ABRAZADERA TIPO U CPVC 1 FOSET,$1.00,$2.00,$1.50,20,10,20,PLOMERIA
7.51E+12,ABRAZADERA TIPO U CPVC 1/2 FOSET,$0.50,$1.50,$1.00,20,10,20,PLOMERIA
7.51E+12,ABRAZADERA TIPO U CPVC 3/4 FOSET,$1.00,$2.00,$1.50,20,5,10,PLOMERIA
926,ABRAZADERA TIPO UÑA 1/2 PES/REFORZADA CN 133900210,$1.01,$2.50,$2.00,466,10,250,TORNILLOS
931,ABRAZADERA TIPO UÑA 2 PES/REFORZADA CN 133900235,$4.42,$8.00,$7.00,99,10,100,TORNILLOS
929,ABRAZADERA TIPO UÑA 3/4 PES/REFORZADA CN 133900215,$1.30,$3.50,$3.00,494,10,250,TORNILLOS
9.00E+11,ABRAZADERA TIPO UÑA LIGERA 1-1/4 BLISTER CN 133900425,$6.26,$9.00,$8.50,4,2,10,TORNILLOS
9.00E+11,ABRAZADERA TIPO UÑA LIGERA 2 BLISTER CN 133900435,$10.49,$14.50,$14.00,4,2,10,TORNILLOS
9.00E+11,ABRAZADERA TIPO UÑA LIGERA 3/4 BLISTER CN 133900415,$2.33,$4.00,$3.50,4,2,10,TORNILLOS
9.00E+11,ABRAZADERA TIPO UÑA LIGERA BLISTER 1/2 CN 133900410,$2.03,$3.50,$3.00,4,2,10,TORNILLOS
7.51E+12,ACC P/TALADRADO OBI CHOLU,$129.45,$175.00,$170.00,2,1,3,AUTOS
7.50E+12,ACCESORIOS DICA P/BAÑO CROMO PLO 34,$321.67,$360.00,$355.00,4,2,5,PLOMERIA
7.52E+12,ACCESORIOS P/BAÑO SOLVEX GRI SP-60001,$299.00,$390.00,$388.00,2,1,2,PLOMERIA
7.50E+12,ACEITE MULTIUSOS 90ML TRUPER,$22.00,$30.00,$28.00,8,2,10,ACEITES Y LUBRICANTES
7.51E+12,ACEITE SEMI SINTETICO 4 TIEMPO 1LT TRUPER,$115.00,$150.00,$145.00,2,1,3,AUTOS
7.50E+12,ACEITE SINTETICO P/MOTOR 2TIEMPOS 100ML TRUPER,$32.00,$43.00,$41.00,4,2,6,AUTOS
7.50E+12,ACEITERA DE APLICADOR FLEXIBLE 180ML TRUPER,$65.00,$88.00,$85.00,5,4,6,HERRAMIENTAS
ACIDO1,ACIDO MURIATICO PUG RM,$15.00,$20.00,$19.50,2,2,6,SEGURIDAD E HIGIENE
7.50E+12,ACOPLE COFLEX PARA DRENAJE SANITARIO REDUCIDO 2 X 1 1/4 PLO,$78.30,$102.00,$100.00,3,1,3,PLOMERIA
7.50E+12,ACRILICO ACRILASTIC BLANCO 300 ML SAC1B30 PENNSYLV CYL 1112100,$46.48,$62.00,$60.00,5,1,5,ADHESIVOS
7.50E+12,ACRILICO ACRILASTIC NEGRO 300ML SAC1N30 PENNSYLV CYL 1112102,$46.48,$64.00,$62.00,4,1,5,ADHESIVOS
7.11E+11,ADAPATADOR P/GRIFO LAVADORA AI-400 COFLEX DIPLO,$74.50,$100.00,$98.00,3,1,3,PLOMERIA
7.51E+12,ADAPTADOR 3 A 2 NARANJA VOLTECK 46256,$8.00,$11.00,$10.00,10,2,10,ELECTRICIDAD
828,ADAPTADOR BB LAVADERO COMP 1 1/4 PULG BAYUS DIPLOMEX,$12.90,$25.00,$20.00,6,2,6,PLOMERIA
829,ADAPTADOR BC LAVADERO COPM 1 1/2 PULG 651 BAYUS DIPLOMEX,$13.50,$28.00,$25.00,6,3,6,PLOMERIA
830,ADAPTADOR BD LAVADERO COMP 2 PULG 652 BAYUS DIPLO,$14.90,$30.00,$25.00,6,3,6,PLOMERIA
7.51E+12,ADAPTADOR HEMBRA CPVC 1 INSER LATON FOSET 45109,$95.00,$126.00,$124.00,10,5,10,PLOMERIA
345,ADAPTADOR HEMBRA CPVC 1 PLOMECSA,$5.68,$8.00,$7.50,10,20,50,PLOMERIA
618,ADAPTADOR HEMBRA CPVC 1-1/4 PLO 89,$8.27,$15.00,$11.00,6,2,6,PLOMERIA
7.51E+12,ADAPTADOR HEMBRA CPVC 1/2 INSER LATON FOSET 45107,$30.00,$40.00,$39.00,10,5,20,PLOMERIA
343,ADAPTADOR HEMBRA CPVC 1/2 PLOMECSA,$1.82,$3.00,$2.50,10,20,50,PLOMERIA
7.51E+12,ADAPTADOR HEMBRA CPVC 3/4 INSER LATON FOSET 45108,$40.00,$54.00,$52.00,10,5,20,PLOMERIA
344,ADAPTADOR HEMBRA CPVC 3/4 PLOMECSA,$2.86,$4.00,$3.50,9,15,25,PLOMERIA
348,ADAPTADOR HEMBRA CPVC I/BRONCE 1/2 PLOMECSA,$19.37,$26.00,$25.00,9,15,20,PLOMERIA
349,ADAPTADOR HEMBRA CPVC I/BRONCE 3/4 PLOMECSA,$25.87,$35.00,$34.00,10,15,20,PLOMERIA
7.51E+12,ADAPTADOR HEMBRA LATON 3/4 PARA POLIDUCTO FOSET 49312,$39.00,$52.00,$50.00,5,2,6,PLOMERIA
7.51E+12,ADAPTADOR HEMBRA MOVIBLE POLIPROPILENO 3/4 X 1/2 FOSET,$7.00,$12.00,$11.00,19,5,10,PLOMERIA
502,ADAPTADOR HEMBRA PVC HC.40 1 PLO 109,$2.95,$5.00,$4.00,15,5,20,PLOMERIA
504,ADAPTADOR HEMBRA PVC HC.40 1-1/2 PLO 111,$6.09,$8.50,$8.00,15,5,20,PLOMERIA
503,ADAPTADOR HEMBRA PVC HC.40 1-1/4 PLO 110,$4.55,$6.50,$6.00,15,5,20,PLOMERIA
500,ADAPTADOR HEMBRA PVC HC.40 1/2 PLO 107,$1.22,$2.00,$1.60,15,5,30,PLOMERIA
505,ADAPTADOR HEMBRA PVC HC.40 2 PLO 112,$8.06,$11.00,$10.50,15,5,15,PLOMERIA
501,ADAPTADOR HEMBRA PVC HC.40 3/4 PLO 108,$1.75,$3.00,$2.30,15,5,30,PLOMERIA
7.51E+12,ADAPTADOR INSERCION ROSCA EXT 3/4 X 3/4 FOSET,$5.00,$8.00,$7.50,20,5,10,PLOMERIA
7.51E+12,ADAPTADOR INSERCION ROSCA EXTERIOR 1/2 X 1/2 FOSET,$4.00,$7.00,$6.00,35,10,20,PLOMERIA
7.51E+12,ADAPTADOR INSERCION ROSCA INT 1/2 X 1/2 FOSET,$3.00,$5.00,$4.00,39,10,20,PLOMERIA
7.51E+12,ADAPTADOR MACHO CPVC 1 INSER LATON FOSET 45106,$79.00,$105.00,$103.00,10,5,10,PLOMERIA
487,ADAPTADOR MACHO CPVC 1 PLO 95,$3.54,$6.00,$5.00,10,5,30,PLOMERIA
617,ADAPTADOR MACHO CPVC 1-1/2 PLO 97,$9.41,$16.00,$13.00,6,2,6,PLOMERIA
616,ADAPTADOR MACHO CPVC 1-1/4 PLO 97,$9.41,$16.00,$13.00,6,2,6,PLOMERIA
7.51E+12,ADAPTADOR MACHO CPVC 1/2 INSER LATON FOSET 45104,$30.00,$40.00,$39.00,10,5,10,PLOMERIA
346,ADAPTADOR MACHO CPVC 1/2 PLOMECSA,$1.58,$3.00,$2.50,10,20,50,PLOMERIA
7.51E+12,ADAPTADOR MACHO CPVC 3/4 INSER LATON FOSET 45105,$40.00,$54.00,$52.00,10,5,20,PLOMERIA
347,ADAPTADOR MACHO CPVC 3/4 PLOMECSA,$2.11,$3.50,$3.00,8,20,50,PLOMERIA
7.51E+12,ADAPTADOR MACHO DE LATON 1/2 PARA POLIDUCTO FOSET 49305,$22.00,$29.00,$27.00,7,3,12,PLOMERIA
7.51E+12,ADAPTADOR MACHO LATON 3/4 PARA POLIDUCTO FOSET 49306,$33.00,$43.00,$42.00,4,2,6,PLOMERIA
508,ADAPTADOR MACHO PVC HC.40 1 PLO 116,$2.67,$4.00,$3.50,15,5,20,PLOMERIA
510,ADAPTADOR MACHO PVC HC.40 1-1/2 PLO 117,$5.45,$7.50,$7.00,15,5,20,PLOMERIA
509,ADAPTADOR MACHO PVC HC.40 1-1/4 PLO 116,$4.07,$6.00,$5.50,15,5,15,PLOMERIA
506,ADAPTADOR MACHO PVC HC.40 1/2 PLO 113,$1.04,$1.50,$1.40,12,5,30,PLOMERIA
511,ADAPTADOR MACHO PVC HC.40 2 PLO 118,$7.55,$10.50,$10.00,15,5,15,PLOMERIA
507,ADAPTADOR MACHO PVC HC.40 3/4 PLO 114,$1.62,$2.50,$2.00,13,5,20,PLOMERIA
7.50E+12,ADAPTADOR MATRACA 1/2 A 3/8 TRUPER 13422,$55.00,$73.00,$70.00,6,2,6,AUTOS
7.50E+12,ADAPTADOR MATRACA 3/8 A 1/2 TRUPER 13420,$39.00,$53.00,$50.00,6,2,6,AUTOS
7.50E+12,ADAPTADOR MATRACA 3/8 A 1/4 TRUPER 13423,$29.00,$40.00,$38.00,6,2,6,AUTOS
7.50E+12,ADAPTADOR P/DADO 1/4 X 1/2 X 3/8 SANTUL PLO ST8116,$39.29,$65.00,$55.00,1,1,3,HERRAMIENTAS
637,ADAPTADOR PALMAPLASTIK PLASTICO R/EXT 1 PLO 103,$5.66,$10.00,$8.00,5,2,5,PLOMERIA
639,ADAPTADOR PALMAPLASTIK R/INT 1 PLO 106,$7.24,$13.00,$10.00,5,2,5,PLOMERIA
638,ADAPTADOR PALMAPLASTIK R/INT 3/4 PLO 105,$5.73,$10.00,$8.00,5,2,5,PLOMERIA
7.51E+12,ADAPTADOR PARA BROQUERO SDS,$14.30,$20.00,$18.00,2,1,2,HERRAMIENTAS
966,ADAPTADOR PARA TALADRO OBI 1/2 PULGADA ANG,$34.00,$55.00,$50.00,2,2,5,HERRAMIENTAS
AYH13,ADAPTADOR YUCATAN HEMBRA LATON 1/2 AYH13,$17.40,$24.00,$22.00,4,2,5,PLOMERIA
7.50E+12,ADHESIVO 4400 BLANCO MULTI 1KG AFIX CYL 1111369,$74.51,$100.00,$95.00,2,1,3,CARPINTERIA
7.51E+12,ADIOS CLAVOS ADHESIVO DE MONTAJE TRUPER 102281,$45.00,$65.00,$60.00,6,2,6,ADHESIVOS
7.50E+12,AFLOJATODO PERMATEX 300GRS H79 128043,$86.62,$120.00,$115.00,5,1,3,HERRAMIENTAS
7.50E+12,AFLOJATODO SANTUL 110ML ST40 H79,$22.85,$38.00,$35.00,4,2,10,ACEITES Y LUBRICANTES
7.50E+12,AFLOJATODO SANTUL 235ML ST40 H79,$29.55,$50.00,$48.00,5,2,10,ACEITES Y LUBRICANTES
889,ALAMBRE GALVANIZADO CAL 12 1KG GEN 5279 CRA,$50.56,$70.00,$65.00,1,1,3,TORNILLOS
885,ALAMBRE GALVANIZADO CAL 14 ROLLITO GEN 30G 31713 CRA,$2.91,$5.00,$4.50,4,1,4,TORNILLOS
890,ALAMBRE GALVANIZADO CAL 16 ROLL0 IKG 5277 CRA,$53.65,$70.00,$65.00,1,2,2,TORNILLOS
887,ALAMBRE GALVANIZADO CAL 16 ROLLITO GEN 30G 31714 CRA,$2.91,$5.00,$4.50,4,1,4,TORNILLOS
888,ALAMBRE GALVANIZADO CAL 18 ROLLITO GEN 30G 31715 CRA,$2.90,$5.00,$4.50,3,1,4,TORNILLOS
31716,ALAMBRE GALVANIZADO CAL 20 ROLLITO GEN 30G 31716 H79,$2.70,$6.00,$5.00,6,1,4,TORNILLOS
886,ALAMBRE GALVANIZADO CAL 22 ROLLITO GEN 30G 31717 CRA,$2.90,$5.00,$4.50,4,1,4,TORNILLOS
7.51E+12,ALAMBRE GALVANIZADO CAL 22 ROLLO 1KG 30G 29595 FIERO CRA,$69.00,$88.00,$85.00,1,1,2,TORNILLOS
ALAM16,ALAMBRE RECOCIDO P/CONSTR X KILO CALIBRE #16 CN 012030058,$39.46,$60.00,$55.00,0.22,1,7,HERRAMIENTAS
ALCA2,ALCAYATA ROSCADA GALV 18X50 CN,$0.38,$1.50,$1.00,144,20,144,TORNILLOS
ALCA3,ALCAYATA ROSCADA GALV 19X60 CN,$0.50,$2.00,$1.50,144,20,144,TORNILLOS
ALCA4,ALCAYATA ROSCADA GALV 21X80 CN,$0.81,$3.00,$2.50,144,20,144,TORNILLOS
ALCA1,ALCAYATA ROSCADA GALVA 16X20 CN,$0.23,$1.00,$0.80,144,20,144,- Sin Departamento -
ALDAB3,ALDABAS NUM 3 CHO,$4.90,$10.00,$9.50,25,5,25,TORNILLOS
8.00E+11,ALMOHADILLA FIBRA VERDE CLEAN ARMY FANDELI CYL,$9.81,$13.00,$12.00,8,2,12,DISCOS ABRASIVOS
7.50E+12,AMARRADOR DE VARILLA 1/2 TRUPER,$110.00,$143.00,$140.00,6,2,6,HERRAMIENTAS
AMONIACO,AMONIACO 1LT ADHE MEX 26° H79 139006,$15.07,$25.00,$20.00,3,1,3,CASA Y JARDIN
712,APAGADOR COLA DE RATA MATRIX CHOLU,$11.30,$20.00,$15.00,5,2,5,ELECTRICIDAD
711,APAGADOR COLA DE RATA SUPPLIER,$17.90,$35.00,$30.00,3,1,3,ELECTRICIDAD
702,APAGADOR DE BALANCIN CON PILOTO LEON CHOLU,$4.99,$15.00,$10.00,15,2,15,ELECTRICIDAD
701,APAGADOR DE PASO DE TECLA GRIS LEON CHOLU,$4.72,$10.00,$7.00,5,1,5,ELECTRICIDAD
7.50E+12,APAGADOR ESCALERA BLANCO IGOTO EDISON B5352-B,$18.82,$25.00,$24.50,5,10,15,ELECTRICIDAD
CAT.257,APAGADOR ESCALERA MARFIL TRADIZIONE IUSA EDISON,$19.90,$26.00,$25.00,9,10,15,ELECTRICIDAD
713,APAGADOR KLEY PALANCA 2 TORNILLOS,$11.00,$20.00,$15.00,2,1,3,ELECTRICIDAD
715,APAGADOR KLEY PALANCA 3 TORNILLOS,$11.50,$20.00,$15.00,3,1,3,ELECTRICIDAD
32664191107,APAGADOR SENC DE PALANCA MARFIL EATON 1301V ED,$26.83,$38.00,$36.00,3,2,5,ELECTRICIDAD
7.50E+12,APAGADOR SENCILLO BLANCO IGOTO EDISON B5351-B,$15.35,$20.00,$19.50,11,5,10,ELECTRICIDAD
CAT.254,APAGADOR SENCILLO MARFIL TRADIZIONE IUSA EDISON,$15.13,$20.00,$19.00,7,10,15,ELECTRICIDAD
710,APAGADOR TIPO PUSH CHOLU,$5.10,$10.00,$8.00,3,1,3,ELECTRICIDAD
9.01E+12,ARANDELA DE PRESION 3/16 CN,$0.04,$0.50,$0.30,200,50,300,TORNILLOS
9.01E+12,ARANDELA DE PRESION 7/16 CN 631020035,$0.22,$1.00,$0.60,300,100,300,TORNILLOS
9.01E+12,ARANDELA PLANA 1/2 CN 631040035,$0.57,$1.50,$1.00,100,50,100,TORNILLOS
9.01E+12,ARANDELA PLANA 1/4 CN 631040020,$0.57,$1.50,$1.00,88,50,100,TORNILLOS
9.01E+12,ARANDELA PLANA 3/16 CN 631040045,$0.08,$0.50,$0.35,1000,100,1000,TORNILLOS
9.01E+12,ARANDELA PLANA 3/8 CN 631040030,$0.21,$1.00,$0.50,278,100,280,TORNILLOS
9.01E+12,ARANDELA PLANA 5/16 CN 631040025,$0.57,$1.50,$1.00,100,50,100,TORNILLOS
9.01E+12,ARANDELA PLANA 7/16 CN 626090035,$0.41,$1.00,$0.80,254,100,256,TORNILLOS
9.01E+12,ARANDELA PLANA 7/16 CN 631040033,$0.37,$1.00,$0.80,155,100,155,TORNILLOS
9.01E+12,ARANDELA PLANA GALV 1/2 CN 626090040,$0.85,$2.00,$1.50,70,40,74,TORNILLOS
9.01E+12,ARANDELA PLANA GALV 1/4 CN 626089050,$0.19,$0.50,$0.30,125,100,200,TORNILLOS
9.01E+12,ARANDELA PLANA GALV 1/4 CN 626090020,$0.27,$1.00,$0.50,127,100,240,TORNILLOS
9.01E+12,ARANDELA PLANA GALV 3/16 CN 626089045,$0.16,$0.50,$3.00,1167,100,400,TORNILLOS
9.01E+12,ARANDELA PLANA GALV 3/8 CN 626089060,$0.34,$1.00,$0.50,125,100,300,TORNILLOS
9.01E+12,ARANDELA PLANA GALV 3/8 CN 626090030,$0.32,$1.00,$0.50,200,100,200,TORNILLOS
9.01E+12,ARANDELA PLANA GALV 5/16 CN 626089055,$0.26,$1.00,$0.50,352,100,200,TORNILLOS
9.01E+12,ARANDELA PRESION 1/4 CN 631020020,$0.08,$0.50,$0.30,597,100,200,TORNILLOS
9.01E+12,ARANDELA PRESION 3/8 CN 631020030,$0.16,$0.50,$0.30,400,200,300,TORNILLOS
9.01E+12,ARANDELA PRESION 5/16 CN 631020025,$0.11,$0.50,$0.30,400,100,200,TORNILLOS
7.50E+12,ARCO 12 DE SOLERA P/SEGUETA PRETUL,$85.00,$110.00,$105.00,11,4,12,HERRAMIENTAS
7.50E+12,ARCO 12 PROFESIONAL TUBULAR DE ACERO TRUPER,$139.00,$185.00,$180.00,3,1,3,HERRAMIENTAS
7.50E+12,ARCO JUNIOR P/SEGUETA 6 PULG 10210 TRUPER,$59.00,$82.00,$80.00,2,1,4,HERRAMIENTAS
7.50E+12,ARCO MINI MAXTOOL ANG,$26.70,$40.00,$38.00,2,2,3,HERRAMIENTAS
938,ARMELLA ABIERTA 20 X 70MM SANTUL H79 ST3234,$0.53,$2.00,$1.50,16,5,20,TORNILLOS
933,ARMELLA ABIERTA 22 X 100 FIERO 44382,$1.48,$3.00,$2.50,204,72,216,TORNILLOS
937,ARMELLA ABIERTA 23 X 110 FIERO 44383,$2.02,$3.00,$2.50,208,72,216,TORNILLOS
935,ARMELLA CERRADA 20 X 70MM SANTUL H79 ST3249,$0.51,$2.00,$1.50,30,10,30,TORNILLOS
936,ARMELLA CERRADA 21 X 80MM SANTUL ST3250,$0.69,$2.00,$1.50,30,10,30,TORNILLOS
934,ARMELLA CERRADA 22 X100 FIERO 44375,$1.32,$3.00,$2.50,213,72,216,TORNILLOS
644,ARMELLA CERRADA 23 X 110 FIERO 44375,$1.74,$3.00,$2.50,189,72,216,TORNILLOS
7.51E+12,ASIENTO ALARGADO CON TAPA PARA WC FOSET 49905,$299.00,$400.00,$390.00,1,1,1,PLOMERIA
7.51E+12,ASIENTO REDONDO CON TAPA PARA WC FOSET 49903,$199.00,$280.00,$260.00,1,1,1,PLOMERIA
49902,ASIENTO REDONDO LIGERO CON TAPA PARA WC FOSET BASIC 49902,$119.00,$170.00,$160.00,5,1,5,PLOMERIA
2720,ATRAPATODO P/LAVABO 2720,$7.00,$10.00,$9.00,3,2,4,PLOMERIA
7.50E+12,AVELLANADOR P/ TUBO AJUSTABLE DE 3/16 A 5/8 TRUPER 12868,$255.00,$380.00,$376.00,3,1,3,HERRAMIENTAS
10553,AZADON JARDINERO CLASSIC MANGO DE MADERA 54 TRUPER 10553,$119.00,$165.00,$163.50,6,2,6,HERRAMIENTAS
967,BALERO P/CARRETILLA GALVANIZADO 1PZ ANG,$4.30,$12.00,$11.00,3,6,6,HERRAMIENTAS
7.50E+12,BALERO TRUPER P/CARRETILLA BOLSA 2PZ ANG,$17.00,$27.00,$25.00,3,1,3,HERRAMIENTAS
BALERO,BALEROS P/MOTOR ELECTRICO 6202 SIEMENS ML,$33.99,$50.00,$45.00,9,4,10,COMPONENTES PARA MAQUINAS
D001,BANDOLA C/DESTORCEDOR 3/4 X 4 1/4 H79,$28.83,$48.00,$45.00,6,2,6,TORNILLOS
D002,BANDOLA C/DESTORCEDOR 5/8 X 3 1/2 H79,$14.59,$25.00,$24.00,6,2,6,TORNILLOS
690,BANDOLA MOSQUETON C/SEGURO 10CM OBI CHOLU,$18.92,$25.00,$30.00,5,2,6,TORNILLOS
691,BANDOLA MOSQUETON C/SEGURO 8CM OBI CHOLU,$12.37,$20.00,$18.00,6,2,6,TORNILLOS
692,BANDOLA MOSQUETON T/PERA 9CM OBI CHOLU,$13.18,$23.00,$20.00,6,2,6,TORNILLOS
693,BANDOLA MOSUETON T/PERA 7CM OBI CHOLU,$5.91,$12.00,$10.00,4,2,6,TORNILLOS
161,BAQUELA MORDAZA MEDIDOR 100A,$67.25,$110.00,$105.00,1,10,15,ELECTRICIDAD
162,BAQUELA MORDAZA REFORZADA 100A DERECHA,$82.50,$115.00,$110.00,36,10,15,ELECTRICIDAD
163,BAQUELA MORDAZA REFORZADA 100A IZQUIERDA,$82.50,$115.00,$110.00,29,10,15,ELECTRICIDAD
7.51E+12,BARBOQUEJO C/BARBILLA P/CASCO DE SEGURIDAD INDUSTRIAL TRUPER 12338,$17.00,$25.00,$23.00,10,2,10,SEGURIDAD E HIGIENE
7.50E+12,BARRAS DE SILICON BLISTER 12 5/16 TRUPER 17537,$17.00,$23.00,$20.00,6,2,6,HERRAMIENTAS
7.50E+12,BARRETA DE PUNTA 1 X 150CM TRUPER,$445.00,$590.00,$560.00,2,1,2,HERRAMIENTAS
7.50E+12,BARRETA DE UÑA 3/4 X 75CM TRUPER,$155.00,$200.00,$195.00,3,1,3,HERRAMIENTAS
1.75E+13,BARRITA DE SILICON CHOLU,$1.25,$2.50,$2.00,92,10,100,ADHESIVOS
869,BASCULA VERTICAL ANG,$18.90,$35.00,$30.00,2,1,3,HERRAMIENTAS
165,BASE MEDIDOR IUSA MONOFASICA REFORZADA,$165.00,$220.00,$210.00,24,5,10,ELECTRICIDAD
7.91E+11,BASE P/MEDIDOR MONOFASICA 100A IUSA EDISON,$139.50,$180.00,$170.00,11,5,10,ELECTRICIDAD
809,BASE P/MEDIDOR MONOFASICA NACIONAL IBMXBG ED,$97.24,$135.00,$130.00,6,2,6,ELECTRICIDAD
7.50E+12,BATERIA PLANA DE LITIO 3V 210MA STEREN CR2032 ED,$8.03,$13.00,$12.00,3,1,5,ELECTRONICA
758,BIBEL DE PERNO REFOR SIN BALERO GOZNE CN 073040300,$34.52,$50.00,$45.00,4,1,4,TORNILLOS
763,BIBEL MEDIANO CON BALERO GALV CN 073040310,$39.68,$58.00,$52.00,4,1,4,TORNILLOS
764,BIBEL MEDIANO SIN ACABADO CN 073040305,$38.16,$55.00,$50.00,4,1,4,TORNILLOS
840,BISAGRA ALARG REMACH ACERO 2 JUEGO DE 2 CN 055010060,$6.84,$9.50,$9.00,9,2,10,TORNILLOS
903,BISAGRA ALARGADA ACERO GALV 1-1/2 CN 055010055,$0.51,$1.50,$1.00,103,100,200,TORNILLOS
BBA,BISAGRA BIDIRECCIONAL JORO/ALTA HANDYHOME 3649 H79,$14.09,$23.00,$20.00,6,3,10,CARPINTERIA
BBP,BISAGRA BIDIRECCIONAL PLANA HANDYHOME 3645 H79,$14.09,$23.00,$22.00,6,2,10,CARPINTERIA
899,BISAGRA CUADRADA PER SUELTO ACERO 3 CN 055030015,$36.01,$47.50,$47.00,6,2,10,TORNILLOS
6.33E+11,BISAGRA DE PARCHE LATON/BRILL HANDYHOME H79,$10.36,$18.00,$16.00,6,5,15,CARPINTERIA
759,BISAGRA DE PROYECCION CALIBRE 12 CN 073040050,$4.99,$8.00,$7.00,8,2,8,TORNILLOS
900,BISAGRA FADAL 3 PULG 75MM X 49MM CON TORNILL CM,$7.60,$11.00,$10.50,20,5,20,TORNILLOS
898,BISAGRA FANAL 2 1/2 PULG S/ TORNI CM,$3.80,$7.00,$6.50,14,5,20,TORNILLOS
9.00E+12,BISAGRA TUBULAR 13MM 1/2 CN 373040010,$2.11,$5.00,$4.00,20,10,20,TORNILLOS
